Ticker,P/E,Market Cap,Dividend Rate
MMM,19.318918,103485177856.0,103485177856.0
ABT,51.230522,227269705728.0,227269705728.0
ABBV,38.39706,184385683456.0,184385683456.0
ABMD,74.84841,14852050944.0,14852050944.0
ACN,31.692518,170589831168.0,170589831168.0
ATVI,36.812057,80230285312.0,80230285312.0
ADBE,46.060944,238794702848.0,238794702848.0
AMD,45.431202,113585479680.0,113585479680.0
AAP,22.246325,10368845824.0,10368845824.0
AES,,18976188416.0,18976188416.0
AFL,7.0344825,32489940992.0,32489940992.0
A,55.643482,39083683840.0,39083683840.0
APD,30.609726,57653719040.0,57653719040.0
AKAM,30.145401,16559169536.0,16559169536.0
ALK,,7118099968.0,7118099968.0
ALB,45.860725,19202291712.0,19202291712.0
ARE,28.79534,23656089600.0,23656089600.0
ALXN,58.231617,34800185344.0,34800185344.0
ALGN,27.20125,48065630208.0,48065630208.0
ALLE,36.51127,10884532224.0,10884532224.0
LNT,17.978407,12060958720.0,12060958720.0
ALL,6.032929,31766874112.0,31766874112.0
GOOGL,35.74344,1415310082048.0,1415310082048.0
GOOG,35.898354,1415310737408.0,1415310737408.0
MO,18.083334,80655425536.0,80655425536.0
AMZN,78.35787,1650540019712.0,1650540019712.0
AMCR,36.741215,17962770432.0,17962770432.0
AEE,21.408121,18115330048.0,18115330048.0
AAL,,10732959744.0,10732959744.0
AEP,20.354738,39021219840.0,39021219840.0
AXP,34.38196,104370274304.0,104370274304.0
AIG,,35667177472.0,35667177472.0
AMT,53.70922,100920754176.0,100920754176.0
AWK,44.29863,29309870080.0,29309870080.0
AMP,17.87541,25471744000.0,25471744000.0
ABC,,21530976256.0,21530976256.0
AME,32.29443,28010412032.0,28010412032.0
AMGN,19.2697,137004441600.0,137004441600.0
APH,34.75703,40712511488.0,40712511488.0
ADI,49.01829,59392774144.0,59392774144.0
ANSS,91.74812,34662821888.0,34662821888.0
ANTM,16.167751,72293277696.0,72293277696.0
AON,26.97421,52133593088.0,52133593088.0
AOS,28.476416,9747822592.0,9747822592.0
APA,,6598315520.0,6598315520.0
AAPL,36.715485,2272604979200.0,2272604979200.0
AMAT,29.770407,107091034112.0,107091034112.0
APTV,23.45288,42202206208.0,42202206208.0
ADM,17.705751,30986115072.0,30986115072.0
