Ticker,P/E,Market Cap,Dividend Rate,Sector,Industry
MMM,19.318918,103485177856.0,5.92,Industrials,Specialty Industrial Machinery
ABT,51.230522,227269705728.0,1.8,Healthcare,Medical Devices
ABBV,38.39706,184385683456.0,5.2,Healthcare,Drug Manufacturers—General
ABMD,74.84841,14852050944.0,,Healthcare,Medical Devices
ACN,31.692518,170589831168.0,3.52,Technology,Information Technology Services
ATVI,36.812057,80230285312.0,,Communication Services,Electronic Gaming & Multimedia
ADBE,46.060944,238794702848.0,,Technology,Software—Infrastructure
AMD,45.431202,113585479680.0,,Technology,Semiconductors
AAP,22.246325,10368845824.0,1.0,Consumer Cyclical,Specialty Retail
AES,,18976188416.0,0.6,Utilities,Utilities—Diversified
AFL,7.0344825,32489940992.0,1.32,Financial Services,Insurance—Life
A,55.643482,39083683840.0,0.78,Healthcare,Diagnostics & Research
APD,30.609726,57653719040.0,6.0,Basic Materials,Chemicals
AKAM,30.145401,16559169536.0,,Technology,Software—Infrastructure
ALK,,7118099968.0,,Industrials,Airlines
ALB,45.860725,19202291712.0,1.54,Basic Materials,Specialty Chemicals
ARE,28.79534,23656089600.0,4.36,Real Estate,REIT—Office
ALXN,58.231617,34800185344.0,,Healthcare,Biotechnology
ALGN,27.20125,48065630208.0,,Healthcare,Medical Devices
ALLE,36.51127,10884532224.0,,Industrials,Security & Protection Services
LNT,17.978407,12060958720.0,1.61,Utilities,Utilities—Regulated Electric
ALL,6.032929,31766874112.0,2.16,Financial Services,Insurance—Property & Casualty
GOOGL,35.74344,1415310082048.0,,Communication Services,Internet Content & Information
GOOG,35.898354,1415310737408.0,,Communication Services,Internet Content & Information
MO,18.083334,80655425536.0,3.44,Consumer Defensive,Tobacco
AMZN,78.35787,1650540019712.0,,Consumer Cyclical,Internet Retail
AMCR,36.741215,17962770432.0,0.47,Consumer Cyclical,Packaging & Containers
AEE,21.408121,18115330048.0,2.06,Utilities,Utilities—Regulated Electric
AAL,,10732959744.0,,Industrials,Airlines
AEP,20.354738,39021219840.0,2.96,Utilities,Utilities—Regulated Electric
AXP,34.38196,104370274304.0,1.72,Financial Services,Credit Services
AIG,,35667177472.0,1.28,Financial Services,Insurance—Diversified
