Ticker,Name,Sector,Industry,P/E,Market Cap,Dividend Yield
MMM,3M Company,Industrials,Specialty Industrial Machinery,19.027027,101921603584.0,3.35%
ABT,Abbott Laboratories,Healthcare,Medical Devices,50.723133,225018822656.0,1.41%
ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers—General,38.9375,186980925440.0,4.99%
ABMD,"ABIOMED, Inc.",Healthcare,Medical Devices,72.71028,14427785216.0,None
ACN,Accenture plc,Technology,Information Technology Services,31.905777,171737726976.0,1.37%
ATVI,"Activision Blizzard, Inc",Communication Services,Electronic Gaming & Multimedia,36.361702,79248760832.0,0.46%
ADBE,Adobe Inc.,Technology,Software—Infrastructure,45.008312,233337536512.0,None
AMD,"Advanced Micro Devices, Inc.",Technology,Semiconductors,43.4157,108546392064.0,None
AAP,Advance Auto Parts Inc Advance ,Consumer Cyclical,Specialty Retail,23.057215,10746795008.0,0.64%
AES,The AES Corporation,Utilities,Utilities—Diversified,,19169075200.0,2.11%
AFL,AFLAC Incorporated,Financial Services,Insurance—Life,6.956522,32129867776.0,2.85%
A,"Agilent Technologies, Inc.",Healthcare,Diagnostics & Research,58.497826,41088561152.0,0.61%
APD,"Air Products and Chemicals, Inc",Basic Materials,Chemicals,30.6344,57700192256.0,2.30%
AKAM,"Akamai Technologies, Inc.",Technology,Software—Infrastructure,29.925817,16438549504.0,None
ALK,"Alaska Air Group, Inc.",Industrials,Airlines,,7375321088.0,None
ALB,Albemarle Corporation,Basic Materials,Specialty Chemicals,44.387188,18585309184.0,0.95%
ARE,Alexandria Real Estate Equities,Real Estate,REIT—Office,28.189682,23158525952.0,2.56%
ALXN,"Alexion Pharmaceuticals, Inc.",Healthcare,Biotechnology,58.117645,34753572864.0,None
ALGN,"Align Technology, Inc.",Healthcare,Medical Devices,26.956047,47632347136.0,None
ALLE,Allegion plc,Industrials,Security & Protection Services,32.323006,9941991424.0,None
LNT,Alliant Energy Corporation,Utilities,Utilities—Regulated Electric,17.918839,12020997120.0,3.37%
ALL,Allstate Corporation,Financial Services,Insurance—Property & Casualty,5.9971113,31578273792.0,2.09%
GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,35.824818,1419202396160.0,None
GOOG,Alphabet Inc.,Communication Services,Internet Content & Information,35.96523,1417243394048.0,None
MO,"Altria Group, Inc.",Consumer Defensive,Tobacco,18.181248,81092149248.0,7.92%
AMZN,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail,78.267265,1648631480320.0,None
AMCR,Amcor plc,Consumer Cyclical,Packaging & Containers,35.846645,17525415936.0,4.18%
AEE,Ameren Corporation,Utilities,Utilities—Regulated Electric,21.314636,18036224000.0,3.03%
AAL,"American Airlines Group, Inc.",Industrials,Airlines,,11124491264.0,None
AEP,American Electric Power Company,Utilities,Utilities—Regulated Electric,20.486795,39274381312.0,3.79%
AXP,American Express Company,Financial Services,Credit Services,34.38992,104444608512.0,1.32%
AIG,"American International Group, I",Financial Services,Insurance—Diversified,,36744085504.0,3.04%
AMT,American Tower Corporation,Real Estate,REIT—Specialty,53.333336,100214456320.0,2.15%
AWK,"American Water Works Company, I",Utilities,Utilities—Regulated Water,44.153423,29213796352.0,1.36%
AMP,"Ameriprise Financial, Inc.",Financial Services,Asset Management,17.90082,25507952640.0,1.89%
ABC,AmerisourceBergen Corporation,Healthcare,Medical Distribution,,21389729792.0,1.67%
AME,"AMETEK, Inc.",Industrials,Specialty Industrial Machinery,31.860743,27634255872.0,0.66%
AMGN,Amgen Inc.,Healthcare,Drug Manufacturers—General,19.079609,135652925440.0,3.02%
APH,Amphenol Corporation,Technology,Electronic Components,34.358055,40245170176.0,0.85%
ADI,"Analog Devices, Inc.",Technology,Semiconductors,48.478657,58738929664.0,1.55%
ANSS,"ANSYS, Inc.",Technology,Software—Application,89.02477,33633929216.0,None
ANTM,"Anthem, Inc.",Healthcare,Healthcare Plans,16.166082,72285814784.0,1.56%
AON,Aon plc,Financial Services,Insurance Brokers,26.941683,52070723584.0,0.81%
AOS,A.O. Smith Corporation,Industrials,Specialty Industrial Machinery,27.985851,9598526464.0,1.76%
APA,Apache Corporation,Energy,Oil & Gas E&P,,7081487872.0,0.54%
AAPL,Apple Inc.,Technology,Consumer Electronics,35.30377,2185222946816.0,0.62%
AMAT,"Applied Materials, Inc.",Technology,Semiconductor Equipment & Materials,28.989796,104282996736.0,0.74%
APTV,Aptiv PLC,Consumer Cyclical,Auto Parts,23.230791,41802567680.0,None
ADM,Archer-Daniels-Midland Company,Consumer Defensive,Farm Products,17.689863,30958309376.0,2.64%
ANET,"Arista Networks, Inc.",Technology,Computer Hardware,34.818752,23546615808.0,None
AJG,Arthur J. Gallagher & Co.,Financial Services,Insurance Brokers,28.07143,22841946112.0,1.63%
AIZ,"Assurant, Inc.",Financial Services,Insurance—Specialty,18.000143,7396314112.0,2.10%
T,AT&T Inc.,Communication Services,Telecom Services,,209254989824.0,7.18%
ATO,Atmos Energy Corporation,Utilities,Utilities—Regulated Gas,17.84729,11772869632.0,2.75%
ADSK,"Autodesk, Inc.",Technology,Software—Application,154.53061,65512628224.0,None
ADP,"Automatic Data Processing, Inc.",Industrials,Staffing & Employment Services,28.674177,70802669568.0,2.24%
AZO,"AutoZone, Inc.",Consumer Cyclical,Specialty Retail,15.431112,26805555200.0,None
AVB,"AvalonBay Communities, Inc.",Real Estate,REIT—Residential,30.33956,24948125696.0,3.56%
AVY,Avery Dennison Corporation,Industrials,Business Equipment & Supplies,26.959152,14865033216.0,1.38%
BKR,Baker Hughes Company,Energy,Oil & Gas Equipment & Services,,24318257152.0,3.20%
BLL,Ball Corporation,Consumer Cyclical,Packaging & Containers,50.965908,29341945856.0,0.67%
BAC,Bank of America Corporation,Financial Services,Banks—Diversified,18.373262,297224568832.0,2.10%
BK,The Bank of New York Mellon Cor,Financial Services,Asset Management,11.258486,38237265920.0,2.90%
BAX,Baxter International Inc.,Healthcare,Medical Instruments & Supplies,36.38967,39150612480.0,1.24%
BDX,"Becton, Dickinson and Company",Healthcare,Medical Instruments & Supplies,48.493153,74057932800.0,1.29%
BRK.B,Requested symbol wasn't foun,N/A,N/A,,,None
BBY,"Best Buy Co., Inc.",Consumer Cyclical,Specialty Retail,18.386164,31241713664.0,1.82%
BIO,"Bio-Rad Laboratories, Inc.",Healthcare,Medical Devices,5.188273,19544913920.0,None
BIIB,Biogen Inc.,Healthcare,Drug Manufacturers—General,11.113709,41986846720.0,None
BLK,"BlackRock, Inc.",Financial Services,Asset Management,22.628414,109932822528.0,2.26%
BA,Boeing Company,Industrials,Aerospace & Defense,,125959413760.0,None
BKNG,Booking Holdings Inc. Common St,Consumer Cyclical,Travel Services,64.8538,89475399680.0,None
BWA,BorgWarner Inc.,Consumer Cyclical,Auto Parts,18.866652,10776563712.0,1.55%
BXP,"Boston Properties, Inc.",Real Estate,REIT—Office,16.805054,14497439744.0,4.23%
BSX,Boston Scientific Corporation,N/A,N/A,14.416507,53186142208.0,None
BMY,Bristol-Myers Squibb Company,Healthcare,Drug Manufacturers—General,,136142766080.0,3.27%
AVGO,Broadcom Inc.,Technology,Semiconductors,75.76959,195006676992.0,2.96%
BR,"Broadridge Financial Solutions,",Technology,Information Technology Services,33.40565,17117409280.0,1.57%
BF.B,Requested symbol wasn't foun,N/A,N/A,,,None
CHRW,"C.H. Robinson Worldwide, Inc.",Industrials,Integrated Freight & Logistics,23.97043,12122304512.0,2.31%
COG,Cabot Oil & Gas Corporation,Energy,Oil & Gas E&P,34.586464,7333871616.0,2.18%
CDNS,"Cadence Design Systems, Inc.",Technology,Software—Application,36.676174,39457583104.0,None
CPB,Campbell Soup Company,Consumer Defensive,Packaged Foods,7.9493566,14027868160.0,3.21%
COF,Capital One Financial Corporati,Financial Services,Credit Services,23.06772,54878040064.0,1.34%
CAH,"Cardinal Health, Inc.",Healthcare,Medical Distribution,11.018066,15223749632.0,3.76%
KMX,CarMax Inc,Consumer Cyclical,Auto & Truck Dealerships,26.416172,19540678656.0,None
CCL,Carnival Corporation,Consumer Cyclical,Travel Services,,26400966656.0,None
CARR,Carrier Global Corporation,Industrials,Building Products & Equipment,,32273879040.0,1.29%
CTLT,N/A,Healthcare,Drug Manufacturers—Specialty & Generic,66.90305,20556613632.0,None
CAT,"Caterpillar, Inc.",Industrials,Farm & Heavy Construction Machinery,36.741737,108982927360.0,2.04%
